name,units1,units2,dropout,rec_dropout,l2,seq_len,batch_size,lr,optimizer,loss,epochs,patience,RMSE,MAE,R2,DA,n_params,train_loss,val_loss,train_time_s,Horizon
drop_0.5,16,0,0.5,0.0,0.0,10,32,0.001,adam,mse,14,10,0.0422636222871988,0.031997798940153005,-0.07800015319454934,0.5203094777562862,3409,0.7269953489303589,0.6488032341003418,13.848401546478271,5d
recdrop_0.1,16,0,0.3,0.1,0.0,10,32,0.001,adam,mse,14,10,0.04083037886263595,0.03070974189696563,-0.006125622915429618,0.5106382978723404,3409,0.6662953495979309,0.5715734958648682,19.083181858062744,5d
recdrop_0.2,16,0,0.3,0.2,0.0,10,32,0.001,adam,mse,12,10,0.04146822614605094,0.030886516980897397,-0.03780630868225776,0.5357833655705996,3409,0.751934289932251,0.5407316088676453,17.262202978134155,5d
recdrop_0.3,16,0,0.3,0.3,0.0,10,32,0.001,adam,mse,12,10,0.042173204488565326,0.031508957067250556,-0.07339259082442062,0.4564796905222437,3409,0.7784945368766785,0.5926575660705566,16.84644365310669,5d
l2_1e-05,16,0,0.3,0.0,1e-05,10,32,0.001,adam,mse,13,10,0.04179832923678003,0.03129805140795387,-0.054394749944066456,0.5087040618955513,3409,0.6891804337501526,0.5969975590705872,13.272891759872437,5d
l2_1e-04,16,0,0.3,0.0,0.0001,10,32,0.001,adam,mse,15,10,0.04280219495365936,0.0321638630810294,-0.10564949369873422,0.4990328820116054,3409,0.6356551647186279,0.5774658918380737,14.521888494491577,5d
l2_1e-03,16,0,0.3,0.0,0.001,10,32,0.001,adam,mse,13,10,0.04139249718839905,0.03172695251120627,-0.03401930184580526,0.5009671179883946,3409,0.7313306927680969,0.6482768654823303,12.187240362167358,5d
batch_8,16,0,0.3,0.0,0.0,10,8,0.001,adam,mse,12,10,0.04138079837582762,0.030753753924662508,-0.033434892140539185,0.4816247582205029,3409,0.5269131660461426,0.5979671478271484,29.847516775131226,5d
batch_16,16,0,0.3,0.0,0.0,10,16,0.001,adam,mse,13,10,0.042942316289379355,0.03212783069781126,-0.11290046168329249,0.5203094777562862,3409,0.5916472673416138,0.6017125844955444,19.208842754364014,5d
batch_64,16,0,0.3,0.0,0.0,10,64,0.001,adam,mse,13,10,0.04239476870644497,0.031370821950275615,-0.08470072456232591,0.5029013539651838,3409,0.703868567943573,0.5651750564575195,10.357881307601929,5d
batch_128,16,0,0.3,0.0,0.0,10,128,0.001,adam,mse,20,10,0.04121707022430817,0.03132829423912679,-0.025273249236211104,0.4584139264990329,3409,0.7159401774406433,0.5860045552253723,11.603633403778076,5d
lr_1e-04,16,0,0.3,0.0,0.0,10,32,0.0001,adam,mse,22,10,0.04313208057713177,0.032069690455899746,-0.12275812231750072,0.4738878143133462,3409,0.9593057632446289,0.514703094959259,19.488701343536377,5d
lr_5e-04,16,0,0.3,0.0,0.0,10,32,0.0005,adam,mse,17,10,0.04119210762691153,0.03053981171966721,-0.02403173774506384,0.48936170212765956,3409,0.7226836085319519,0.5841467380523682,15.978237867355347,5d
lr_5e-03,16,0,0.3,0.0,0.0,10,32,0.005,adam,mse,12,10,0.04195201158889201,0.031280461860175635,-0.06216251303761977,0.5067698259187621,3409,0.3431783616542816,0.5974758863449097,12.489023447036743,5d
opt_rmsprop,16,0,0.3,0.0,0.0,10,32,0.001,rmsprop,mse,13,10,0.04221325456599427,0.03194008290756539,-0.07543226836441885,0.4584139264990329,3409,0.676496684551239,0.5947582721710205,13.027028322219849,5d
opt_sgd_momentum,16,0,0.3,0.0,0.0,10,32,0.001,sgd_momentum,mse,17,10,0.04224836827792553,0.030695127638829554,-0.07722213863035399,0.5319148936170213,3409,0.8640774488449097,0.5433918237686157,14.898950815200806,5d
opt_adamw,16,0,0.3,0.0,0.0,10,32,0.001,adamw,mse,17,10,0.042070365696526876,0.03131684566612412,-0.06816406665190122,0.504835589941973,3409,0.5674368143081665,0.5889787673950195,15.855451345443726,5d
loss_huber,16,0,0.3,0.0,0.0,10,32,0.001,adam,huber,11,10,0.04258409598301829,0.03179406784585645,-0.09441050707138099,0.5319148936170213,3409,0.3042733371257782,0.26500651240348816,9.611589193344116,5d
loss_mae,16,0,0.3,0.0,0.0,10,32,0.001,adam,mae,17,10,0.042575169639602645,0.03139024136143049,-0.09395174142584684,0.539651837524178,3409,0.5862951278686523,0.5908090472221375,16.756179094314575,5d
combo_small_reg,8,0,0.2,0.1,0.0001,10,32,0.001,adam,mse,13,10,0.042573153593224305,0.0318077415357519,-0.09384814088835314,0.4835589941972921,1449,0.7995790839195251,0.5835072994232178,18.459054470062256,5d
combo_med_reg,32,0,0.4,0.2,0.0001,10,32,0.001,adam,mse,11,10,0.04242969390858909,0.031369013694540496,-0.08648863366393367,0.4990328820116054,8865,0.658003032207489,0.5271130800247192,16.060144662857056,5d
combo_2c_reg,32,16,0.4,0.2,0.0001,10,32,0.001,adam,mse,12,10,0.04201682750029021,0.03099046688984196,-0.06544713332430874,0.4796905222437137,11985,0.6338573694229126,0.6102748513221741,28.39644479751587,5d
combo_long_seq,32,0,0.3,0.0,0.0,30,32,0.001,adam,mse,12,10,0.04205369774457044,0.03166502872881597,-0.0673178377149597,0.49709864603481624,8865,0.4724537432193756,0.6114080548286438,18.28969979286194,5d
combo_huber_drop,16,0,0.5,0.0,0.0,10,32,0.001,adam,huber,15,10,0.040432223082594504,0.030278401495625874,0.013401089874949146,0.539651837524178,3409,0.2971172630786896,0.257862389087677,14.708558797836304,5d
combo_lr_low_long,16,0,0.3,0.0,0.0,10,32,0.0001,adam,mse,49,20,0.04172245069104875,0.031091709522000275,-0.05057003625960932,0.5299806576402321,3409,0.9316432476043701,0.5920928716659546,20.80371332168579,5d
combo_big_strong_reg,64,0,0.5,0.3,0.001,10,32,0.001,adam,mse,12,10,0.04204203191847192,0.031033425322819892,-0.0667257652951101,0.5357833655705996,25921,0.6332250237464905,0.6175910234451294,10.840073585510254,5d
combo_seq20_units32,32,0,0.3,0.0,0.0,20,32,0.001,adam,mse,11,10,0.04207017306523431,0.03109098101165596,-0.06815428488032138,0.5067698259187621,8865,0.46139922738075256,0.5404492020606995,7.646605491638184,5d
